Name,Area,Peri,APRatio,Circularity,PARatio,Centroid_1,Centroid_2,Eccentricity,Solidity,Orientation,MajorAxisLength,MinorAxisLength,t_min
20-0min.tif,29596,610.374,48.4883038923676,0.988079008377827,0.0206235302067847,703.841769157994,686.802405730504,0.208275839857298,0.993721250377732,-60.3565347084732,196.595292883074,192.283983198548,0
20-20min.tif,31406,628.017,50.0082004149569,0.990707594381148,0.0199967203719035,663.817614468573,663.200439406483,0.266504066854222,0.993514915693904,-52.9656064290675,203.837858329679,196.465816343491,20
20-40min.tif,30095,614.438,48.9797180512924,0.991558491907092,0.0204166140554909,639.045987705599,651.156072437282,0.360689561933195,0.994185854448152,-35.0043032962447,202.795182979228,189.144213389949,40
20-60min.tif,30100,617.564,48.7398876877538,0.981759342377362,0.0205170764119601,666.016677740864,667.237142857143,0.42781328384795,0.991828127059444,-28.8231525877308,206.007111085723,186.20305687986,60
20-80min.tif,29050,605.141,48.0053409040207,0.986609343506862,0.0208310154905336,666.92925989673,667.704991394148,0.421958017421186,0.992822966507177,-18.5396479348369,202.055218916723,183.186367327589,80
20-100min.tif,29837,612.708,48.6969323070696,0.988588835061792,0.0205351744478332,668.016489593458,666.966417535275,0.43019282719809,0.993407691027135,-17.1790129698637,205.225846405861,185.264969482997,100
20-120min.tif,30744,622.723,49.3702657521884,0.986300992377326,0.0202551066874837,667.976223002862,666.850117096019,0.430020778413446,0.993408297789841,-26.0394930202081,208.309004479903,188.065325197202,120
20-140min.tif,30562,620.895,49.2224933362324,0.986214813703494,0.0203159151887965,668.163994502978,666.269419540606,0.415822269747856,0.992788461538462,-17.3191662837527,206.951616930892,188.211298942148,140
20-160min.tif,31474,628.462,50.080991372589,0.991454118471677,0.019967655842918,668.34879583148,666.900584609519,0.435845959883682,0.994062282862738,-10.4113917672631,211.087339950516,189.983097284293,160
20-180min.tif,31981,635.367,50.3346884556485,0.985753689420098,0.0198670147900316,668.886276226509,665.081892373597,0.25082074230366,0.992767119885764,7.72077950118844,205.263464817766,198.701920671161,180
20-200min.tif,32475,640.578,50.6964023116623,0.984839747646251,0.0197252655889145,668.5605234796,665.096720554273,0.297259554688585,0.99321038627397,13.5771055255477,208.288582821788,198.873253578212,200
20-220min.tif,32575,641.876,50.7496775078052,0.983900470659796,0.0197045587106677,668.026093630084,665.424159631619,0.241033779479534,0.992928338464352,12.1235055051643,206.912179880238,200.811731568542,220
20-240min.tif,33385,650.866,51.2932001364336,0.980834343467945,0.0194957615695672,668.098906694623,666.543387748989,0.281495491365516,0.99074101552067,4.56362143464847,210.660801296153,202.142215784176,240
20-260min.tif,34005,655.25,51.8962228157192,0.985789277951946,0.0192692251139538,667.777591530657,666.799764740479,0.258141332649944,0.994240102917958,6.53218840442327,211.885095785842,204.703708988527,260
20-280min.tif,34356,657.59,52.2453200322389,0.988922623217543,0.0191404703690767,667.911805798114,666.423506811037,0.195472741030929,0.994097222222222,28.9000644153193,211.346062265684,207.269013914697,280
20-300min.tif,34485,658.798,52.3453319530418,0.989016136836732,0.019103900246484,667.842917210381,666.048107872988,0.172207751277538,0.994205154817506,-16.2102231649521,211.256097168106,208.10006906001,300
20-320min.tif,34948,662.718,52.7343455285657,0.990528257669401,0.0189629735607188,667.48755293579,665.424173057113,0.281265888964059,0.994507839845195,20.7267239611434,215.507659443992,206.807588598386,320
20-340min.tif,35398,669.856,52.8441933788755,0.982113243646169,0.0189235550031075,666.535849483022,664.804282727838,0.219295097381938,0.992318905584212,18.7719186452641,215.168518467844,209.931010696872,340
20-360min.tif,36421,677.927,53.7240735359412,0.986688401830005,0.0186136294994646,665.883666016858,665.201037862771,0.163568872326218,0.993101379724055,22.7876935482694,217.004970064219,214.082329198056,360
20-380min.tif,36795,681.64,53.9801068012441,0.986039960974412,0.0185253431172714,666.038347601576,664.488082619921,0.249337676139946,0.993573299489644,58.1623880712109,220.150481861122,213.197382507837,380
20-400min.tif,36879,683.526,53.9540558808297,0.982869588989906,0.0185342878060685,665.593318690854,664.307654762873,0.290271679866141,0.992544945634622,67.9931961845174,221.707409612579,212.161637096659,400
20-420min.tif,36682,679.73,53.9655451429244,0.988518445443287,0.0185303418570416,665.287252603457,664.778365410828,0.249441508327821,0.993580541184756,47.637943265087,219.702228733665,212.757411996622,420
20-440min.tif,36511,678.448,53.8154729618187,0.987615031092524,0.0185820163786256,665.369915915751,665.575744296239,0.286921436930153,0.992821210061183,30.8471480758572,220.43277934242,211.164488349315,440
20-460min.tif,36559,678.009,53.921113141566,0.99018853685886,0.0185456112038075,664.644410405099,665.801170710359,0.266268254163145,0.993559082508968,22.4301927550792,219.84663097049,211.909940290316,460
20-480min.tif,36708,678.066,54.1363230128041,0.994057776722022,0.0184718862373325,664.603083796448,665.057834804402,0.227082286294342,0.994284785611745,6.87673543636062,219.117177801985,213.392867487134,480
