Name,Area,Peri,APRatio,Circularity,PARatio,Centroid_1,Centroid_2,t_min,Eccentricity,Solidity,Orientation,MajorAxisLength,MinorAxisLength,repRatio,relative_repRatio,nor_area
8-0min.tif,39854,713.504,55.8567296048796,0.97515333831683,0.0179029457519948,637.562628594369,585.760877201787,0,0.495812191998672,0.99161503819263,11.8644720036493,241.936080916649,210.104495779783,2.50915842826316e-05,39854,1
8-20min.tif,38307,697.734,54.9020113682292,0.979954999737644,0.0182142689325711,635.196334873522,586.558618529251,20,0.434966737205462,0.992640771164261,16.6355368117724,232.860576876189,209.678496370676,2.61048894457932e-05,38307,0.961183319114769
8-40min.tif,39658,709.38,55.9051566156362,0.981622744317166,0.0178874375914065,636.133390488678,586.308613646679,40,0.467008833399255,0.993561317800326,19.1159444971139,239.166383131119,211.483508141556,2.52155933229109e-05,39658,0.995082049480604
8-60min.tif,39227,707.293,55.4607496468932,0.976667552101265,0.0180307696229638,635.638845693018,586.102072552069,60,0.46983616649706,0.993088607594937,22.826410983829,238.034949372116,210.126216349541,2.54926453718102e-05,39227,0.98426757665479
8-80min.tif,39739,708.162,56.1156910424451,0.986999184378663,0.0178203276378369,635.089131583583,585.647550265482,80,0.447576593043843,0.994643706354967,27.5438727084157,238.027343403972,212.85490455062,2.51641963813886e-05,39739,0.997114467807497
8-100min.tif,40679,719.268,56.5561098227643,0.979519584866864,0.0176815555937953,635.105189409769,584.41171120234,100,0.490214902272248,0.994669535662763,29.5829300274112,244.023208937963,212.691019412927,2.4582708522825e-05,40679,1.02070055703317
8-120min.tif,40956,718.632,56.9916174064055,0.987928288259466,0.0175464400820393,635.243041312628,585.430877038773,120,0.47440705655916,0.994608771674195,23.9035003886953,243.453910918455,214.31384047289,2.44164469186444e-05,40956,1.02765092587946
8-140min.tif,41585,724.553,57.3940070636655,0.986843475832611,0.0174234219069376,635.710953468799,584.491018396056,140,0.489147173851259,0.994618512317627,24.8196282929412,246.437587685587,214.943175107774,2.40471323794638e-05,41585,1.04343353239324
8-160min.tif,42276,730.226,57.8944052937036,0.987780216826356,0.0172728261898004,633.105710095562,584.026539880783,160,0.450134356608991,0.994308292958276,20.540164749956,245.60360807203,219.314404064686,2.36540826946731e-05,42276,1.06077181713253
8-180min.tif,42159,729.142,57.8200131113007,0.987964996561345,0.0172950496928295,633.132118883275,584.304490144453,180,0.466959682077114,0.994973095440385,19.6049228005525,246.548121627946,218.017229623641,2.3719727697526e-05,42159,1.05783610177147
8-200min.tif,42449,732.839,57.9240460728755,0.984792206332617,0.017263987373083,632.887912553888,583.742208297015,200,0.468433413049802,0.99426148873378,19.6599393291946,247.565619406769,218.723928779162,2.35576809818841e-05,42449,1.06511266121343
8-220min.tif,43235,740.473,58.3883544707234,0.982538370938991,0.0171267029027408,633.234185266566,583.006083034578,220,0.492827472310058,0.994525337565845,21.4567839018424,251.92620405478,219.207804664269,2.31294090435989e-05,43235,1.08483464645958
8-240min.tif,43142,739.216,58.3618319949785,0.98374792431177,0.0171344861156182,633.787283853322,583.434333132446,240,0.498627429919408,0.99478878435713,21.0701783894417,252.026675500016,218.460857715785,2.31792684622873e-05,43142,1.08250112912129
8-260min.tif,42602,736.066,57.8779620305788,0.979731370172636,0.0172777334397446,636.860522980142,582.23228956387,260,0.553068753733054,0.99476953252697,28.7120885656906,255.476549743397,212.846612490156,2.34730763813905e-05,42602,1.06895167360867
8-280min.tif,42812,736.95,58.0934934527444,0.982210198884213,0.017213631692049,635.941161356629,583.323180416706,280,0.538371317700406,0.994956889539613,28.7675562925358,254.626835769662,214.576003686442,2.33579370270018e-05,42812,1.07422090630802
8-300min.tif,43840,748.72,58.5532642376322,0.974551083898151,0.0170784671532847,635.087796532847,582.695711678832,300,0.554409707263937,0.99480360344006,31.705745366904,259.540230992877,216.000768965832,2.28102189781022e-05,43840,1.10001505495057
8-320min.tif,42546,739.457,57.5368141758074,0.969528000184815,0.0173801767498707,635.288511258403,583.584285244206,320,0.553031419049899,0.994390688542981,31.0811366680164,255.763014383536,213.091614972298,2.3503972171297e-05,42546,1.06754654488884
8-340min.tif,42284,735.942,57.4556147087678,0.972744548786251,0.0174047393813263,635.837574496263,583.716819600795,340,0.551405329059335,0.994613412367982,33.2655796080866,254.624825999303,212.417571668362,2.36496074165169e-05,42284,1.06097254980679
8-360min.tif,42109,734.47,57.3324982640544,0.972588935616599,0.017442114512337,636.388847989741,583.428863188392,360,0.554047315177076,0.994520677357644,35.4765702260819,254.382716865437,211.769841475815,2.37478923745518e-05,42109,1.05658152255733
8-380min.tif,42783,740.234,57.7965886462929,0.972891710759751,0.0173020592291331,635.96325643363,582.479816749644,380,0.5560286548312,0.994768415178571,35.9321393889974,256.688879694848,213.350330573308,2.33737699553561e-05,42783,1.07349325036383
8-400min.tif,42554,738.936,57.5882079097513,0.971072414320891,0.0173646660713446,637.109695915778,582.646120223716,400,0.569334775738586,0.994786918203708,35.5933564529259,257.386225208576,211.598703377694,2.34995535084833e-05,42554,1.06774727756311
8-420min.tif,42874,741.136,57.8490317566546,0.972599359310834,0.0172863740262164,638.951065914074,582.483416522834,420,0.587957411773875,0.994710222263468,35.2227756063056,260.197543491602,210.47168147897,2.33241591640621e-05,42874,1.07577658453355
8-440min.tif,42551,739.582,57.5338502018708,0.969315585962544,0.0173810721252144,640.504994007191,583.415900918897,440,0.613013399746173,0.994995907868584,34.3622949145224,262.283898916555,207.223298461454,2.35012103123311e-05,42551,1.06767200281026
8-460min.tif,42949,742.824,57.8185411349122,0.969896356502394,0.0172954899997672,640.180469859601,583.167244871825,460,0.61582974162745,0.994949845947136,33.91340672205,263.824750713103,207.862049527096,2.32834291834501e-05,42949,1.07765845335474
8-480min.tif,42619,743.088,57.3539069396895,0.961763263512097,0.0174356038386635,642.74168797954,583.526032989981,480,0.640649172676479,0.994377041530565,33.9005136450674,266.208017289916,204.403494979658,2.34637133672775e-05,42619,1.06937823054148
8-500min.tif,43729,751.648,58.1774979777768,0.964556347533762,0.0171887763269226,641.891399300236,580.983900843834,500,0.619913384265701,0.994225041493304,37.391778868926,266.670248830798,209.248209929458,2.2868119554529e-05,43729,1.0972298890952
8-520min.tif,43871,752.368,58.3105607894009,0.965844991472388,0.0171495520959176,641.191721182558,580.744455334959,520,0.613245780789138,0.994085924046044,36.2904057979505,266.217255239307,210.28292073372,2.27941008866905e-05,43871,1.10079289406333
8-540min.tif,45489,763.093,59.6113448819476,0.973627302642761,0.0167753302996329,640.299984611664,578.878124381719,540,0.607165704850925,0.995208716198477,37.8870415682782,270.274413842493,214.753356365781,2.19833366308338e-05,45489,1.14139107743263
8-560min.tif,46029,769.362,59.8274934296209,0.969260218006592,0.0167147233265984,639.476895000978,578.034760694345,560,0.5929675106711,0.993653260799171,38.1585142905173,270.139111505399,217.523140236198,2.17254339655435e-05,46029,1.15494053294525
8-580min.tif,47411,779.8,60.7989228007181,0.97191939729552,0.0164476598257788,639.682204551686,575.135053046761,580,0.589390227553301,0.994337367085422,40.9656334955544,273.628240277939,221.050156812579,2.10921516103858e-05,47411,1.18961710242385
8-600min.tif,47836,781.7,61.1948317768965,0.97588962394446,0.0163412492683335,639.665314825654,575.557906179446,600,0.578877157458877,0.994180729902735,37.3737441887751,273.484426274334,223.003238777887,2.09047579229033e-05,47836,1.20028102574397
8-620min.tif,46511,771.007,60.3250035343389,0.975252076925055,0.0165768742878029,642.532777192492,578.327513921438,620,0.588925251708702,0.994717481500492,37.9401621088913,270.887018569302,218.927504455666,2.15002902539184e-05,46511,1.16703467656948
8-640min.tif,45596,765.211,59.5861794982038,0.970544576167514,0.0167824151241337,641.810970260549,578.945521536977,640,0.612186080814941,0.99424334932403,36.5739882137598,271.160934023098,214.410673510976,2.19317483989824e-05,45596,1.14407587695087
