Name,Area,Peri,APRatio,PARatio,Centroid_1,Centroid_2,t_min,Eccentricity,Solidity,Orientation,MajorAxisLength,MinorAxisLength,Circularity
6-280min.tif,37521,689.423,54.4237717627639,0.0183743237120546,582.647104288265,779.738786279683,280,0.470449555861215,0.99411811461728,-72.802555712476,232.87376727651,205.494074114163,0.983023046132903
6-300min.tif,38254,696.857,54.8950502039873,0.0182165786584409,582.2416740733,780.376117530193,300,0.483241054989025,0.994281852679732,-72.4846037049848,236.200651789537,206.79068037829,0.981052804966027
6-320min.tif,37583,689.976,54.4700105510916,0.018358726019743,580.932788760876,781.20323018386,320,0.499872226877742,0.994601317913568,-72.3037231482449,235.410928601302,203.889207766956,0.98307683718755
6-340min.tif,38175,695.956,54.8526056244935,0.0182306745252128,580.811814014407,780.934354944335,340,0.498533144198545,0.994425486467478,-68.4353921252258,237.143233102741,205.572505928845,0.98155196422829
6-360min.tif,38606,698.255,55.2892567901411,0.0180866963684401,581.523312438481,780.603688545822,360,0.473052134905824,0.994666735372169,-64.5311865566817,236.602642806421,208.455075993721,0.986137256406063
6-380min.tif,39048,703.282,55.5225357680134,0.018010704773612,581.312589633272,781.107303831182,380,0.461444998239949,0.994473449637081,-66.1346449088654,237.141528003387,210.384569360479,0.983282406364568
6-400min.tif,38681,701.09,55.1726597155857,0.0181249192109821,580.218944701533,780.191696181588,400,0.468246329253671,0.994319058146111,-77.8579351643594,236.405663659865,208.887564847798,0.98011390111937
6-420min.tif,39007,703.264,55.4656572780634,0.0180291742507755,580.651652267542,781.764016714949,420,0.476251356116237,0.994036849213833,-77.832157574676,238.024426534314,209.297064908243,0.982300028191123
6-440min.tif,41629,727.844,57.1949483680569,0.0174840615916789,583.549640875351,780.370655072185,440,0.391167678649985,0.993721951685286,-83.5936878983325,240.416093060238,221.259600937025,0.979012434608742
6-460min.tif,40716,719.4,56.5971643035863,0.0176687297376953,585.103497396601,781.207240396896,460,0.415429447459445,0.992540587977183,-74.5865929767881,239.154584680952,217.541085522374,0.980052330287112
6-480min.tif,41179,722.186,57.0199366922095,0.0175377255397168,585.701255494305,782.969110468928,480,0.384432542013751,0.993414069284956,-70.1026797374925,238.803555890954,220.45223962665,0.983597150309214
6-500min.tif,41010,719.986,56.9594408780171,0.0175563521092416,584.47356742258,783.36091197269,500,0.348148975947166,0.994615832363213,-74.8951610035545,236.464595199475,221.671185599777,0.985529812977988
6-520min.tif,40395,716.446,56.382476837054,0.0177360069315509,583.786062631514,784.4370837975,520,0.356528092827641,0.992481757204983,-79.8883181412318,235.191302186961,219.735612345197,0.98032514771437
6-540min.tif,40102,716.324,55.9830467777151,0.0178625504962346,583.457483417286,784.235100493741,540,0.45328429278863,0.99213260761999,-67.6674646942342,240.218345385457,214.122466185794,0.973544568351027
6-560min.tif,39649,711.312,55.7406595136874,0.0179402254785745,583.968145476557,784.942545839744,560,0.372589286518755,0.992838362338801,-70.7482739203779,233.913709121489,217.071068022363,0.976099417183466
